,delay
P016_balloon1,11
P016_balloon2,10
P016_tissue1,9
P016_tissue2,10
P017_balloon1,17
P017_balloon2,9
P017_tissue1,9
P017_tissue2,10
P018_balloon1,19
P018_balloon2,19
P018_tissue1,19
P018_tissue2,19
P019_balloon1,19
P019_balloon2,19
P019_tissue1,22
P019_tissue2,18
P020_balloon1,19
P020_balloon2,19
P020_tissue1,19
P020_tissue2,19
P021_balloon1,19
P021_balloon2,16
P021_tissue1,19
P021_tissue2,19
P022_balloon1,-30
P022_balloon2,0
P022_tissue1,0
P022_tissue2,0
P023_balloon1,0
P023_balloon2,0
P023_tissue1,0
P023_tissue2,0
P024_balloon1,-2
P024_balloon2,-2
P024_tissue1,-2
P024_tissue2,-2
P025_balloon1,0
P025_balloon2,-1
P025_tissue1,0
P025_tissue2,0
P026_balloon1,0
P026_balloon2,0
P026_tissue1,0
P026_tissue2,0
P027_balloon1,0
P027_balloon2,0
P027_tissue1,0
P027_tissue2,0
P028_balloon1,0
P028_balloon2,0
P028_tissue1,0
P028_tissue2,0
P029_balloon1,0
P029_balloon2,0
P029_tissue1,0
P029_tissue2,0
P030_balloon1,0
P030_balloon2,0
P030_tissue1,0
P030_tissue2,0
P031_balloon1,0
P031_balloon2,0
P031_tissue1,0
P031_tissue2,0
P032_balloon1,0
P032_balloon2,0
P032_tissue1,0
P032_tissue2,0
P033_balloon1,0
P033_balloon2,0
P033_tissue1,0
P033_tissue2,0
P034_balloon1,1
P034_balloon2,1
P034_tissue1,1
P034_tissue2,1
P035_balloon1,1
P035_balloon2,1
P035_tissue1,1
P035_tissue2,1
P036_balloon1,-1
P036_balloon2,-1
P036_tissue1,0
P036_tissue2,0
P037_balloon1,0
P037_balloon2,0
P037_tissue1,0
P037_tissue2,0
P038_balloon1,-2
P038_balloon2,-2
P038_tissue1,-2
P038_tissue2,-2
P039_balloon1,-2
P039_balloon2,-2
P039_tissue1,-2
P039_tissue2,-2
P040_balloon1,-2
P040_balloon2,-2
P040_tissue1,-1
P040_tissue2,-1
